fecha,ticker,precio,moneda,fuente
2025-08-22,IBB,6880.00,ARS,Yahoo Finance IBB.BA
2025-08-25,IBB,6940.00,ARS,Yahoo Finance IBB.BA
2025-08-26,IBB,6980.00,ARS,Yahoo Finance IBB.BA
2025-08-28,IBB,6910.00,ARS,Yahoo Finance IBB.BA
2025-08-29,IBB,6930.00,ARS,Yahoo Finance IBB.BA
2025-09-01,IBB,7210.00,ARS,Yahoo Finance IBB.BA
2025-09-02,IBB,7140.00,ARS,Yahoo Finance IBB.BA
2025-09-03,IBB,7140.00,ARS,Yahoo Finance IBB.BA
2025-09-04,IBB,7150.00,ARS,Yahoo Finance IBB.BA
2025-09-05,IBB,7340.00,ARS,Yahoo Finance IBB.BA
2025-09-08,IBB,7605.00,ARS,Yahoo Finance IBB.BA
2025-09-09,IBB,7615.00,ARS,Yahoo Finance IBB.BA
2025-09-10,IBB,7490.00,ARS,Yahoo Finance IBB.BA
2025-09-11,IBB,7715.00,ARS,Yahoo Finance IBB.BA
2025-09-12,IBB,7740.00,ARS,Yahoo Finance IBB.BA
2025-09-15,IBB,7780.00,ARS,Yahoo Finance IBB.BA
2025-09-16,IBB,7690.00,ARS,Yahoo Finance IBB.BA
2025-09-17,IBB,7830.00,ARS,Yahoo Finance IBB.BA
2025-09-18,IBB,8300.00,ARS,Yahoo Finance IBB.BA
2025-09-19,IBB,8290.00,ARS,Yahoo Finance IBB.BA
2025-09-22,IBB,7615.00,ARS,Yahoo Finance IBB.BA
2025-09-23,IBB,7490.00,ARS,Yahoo Finance IBB.BA
2025-09-24,IBB,7325.00,ARS,Yahoo Finance IBB.BA
2025-09-25,IBB,7230.00,ARS,Yahoo Finance IBB.BA
2025-09-26,IBB,7690.00,ARS,Yahoo Finance IBB.BA
2025-09-29,IBB,7880.00,ARS,Yahoo Finance IBB.BA
2025-09-30,IBB,8255.00,ARS,Yahoo Finance IBB.BA
2025-10-01,IBB,8655.00,ARS,Yahoo Finance IBB.BA
2025-10-02,IBB,8610.00,ARS,Yahoo Finance IBB.BA
2025-10-03,IBB,8550.00,ARS,Yahoo Finance IBB.BA
2025-10-06,IBB,8495.00,ARS,Yahoo Finance IBB.BA
2025-10-07,IBB,8700.00,ARS,Yahoo Finance IBB.BA
2025-10-08,IBB,8730.00,ARS,Yahoo Finance IBB.BA
2025-10-09,IBB,8230.00,ARS,Yahoo Finance IBB.BA
2025-10-13,IBB,8060.00,ARS,Yahoo Finance IBB.BA
2025-10-14,IBB,8285.00,ARS,Yahoo Finance IBB.BA
2025-10-15,IBB,8290.00,ARS,Yahoo Finance IBB.BA
2025-10-16,IBB,8490.00,ARS,Yahoo Finance IBB.BA
2025-10-17,IBB,8810.00,ARS,Yahoo Finance IBB.BA
2025-10-20,IBB,9105.00,ARS,Yahoo Finance IBB.BA
2025-10-21,IBB,9340.00,ARS,Yahoo Finance IBB.BA
2025-10-22,IBB,9205.00,ARS,Yahoo Finance IBB.BA
2025-10-23,IBB,8915.00,ARS,Yahoo Finance IBB.BA
2025-10-24,IBB,9030.00,ARS,Yahoo Finance IBB.BA
2025-10-27,IBB,8785.00,ARS,Yahoo Finance IBB.BA
2025-10-28,IBB,8670.00,ARS,Yahoo Finance IBB.BA
2025-10-29,IBB,8665.00,ARS,Yahoo Finance IBB.BA
2025-10-30,IBB,8715.00,ARS,Yahoo Finance IBB.BA
2025-10-31,IBB,8910.00,ARS,Yahoo Finance IBB.BA
2025-11-03,IBB,8885.00,ARS,Yahoo Finance IBB.BA
2025-11-04,IBB,8800.00,ARS,Yahoo Finance IBB.BA
2025-11-05,IBB,8785.00,ARS,Yahoo Finance IBB.BA
2025-11-06,IBB,8835.00,ARS,Yahoo Finance IBB.BA
2025-11-07,IBB,8555.00,ARS,Yahoo Finance IBB.BA
2025-11-10,IBB,8740.00,ARS,Yahoo Finance IBB.BA
2025-11-11,IBB,8955.00,ARS,Yahoo Finance IBB.BA
2025-11-12,IBB,9025.00,ARS,Yahoo Finance IBB.BA
2025-11-13,IBB,9010.00,ARS,Yahoo Finance IBB.BA
2025-11-14,IBB,9130.00,ARS,Yahoo Finance IBB.BA
2025-11-17,IBB,9090.00,ARS,Yahoo Finance IBB.BA
2025-11-18,IBB,9105.00,ARS,Yahoo Finance IBB.BA
2025-11-19,IBB,9020.00,ARS,Yahoo Finance IBB.BA
2025-11-20,IBB,9115.00,ARS,Yahoo Finance IBB.BA
2025-11-21,IBB,9350.00,ARS,Yahoo Finance IBB.BA
2025-11-25,IBB,9725.00,ARS,Yahoo Finance IBB.BA
2025-11-26,IBB,9865.00,ARS,Yahoo Finance IBB.BA
2025-11-27,IBB,9800.00,ARS,Yahoo Finance IBB.BA
2025-11-28,IBB,9820.00,ARS,Yahoo Finance IBB.BA
2025-12-01,IBB,9570.00,ARS,Yahoo Finance IBB.BA
2025-12-02,IBB,9595.00,ARS,Yahoo Finance IBB.BA
2025-12-03,IBB,9650.00,ARS,Yahoo Finance IBB.BA
2025-12-04,IBB,9665.00,ARS,Yahoo Finance IBB.BA
2025-12-05,IBB,9605.00,ARS,Yahoo Finance IBB.BA
2025-12-09,IBB,9375.00,ARS,Yahoo Finance IBB.BA
2025-12-10,IBB,9400.00,ARS,Yahoo Finance IBB.BA
2025-12-11,IBB,9490.00,ARS,Yahoo Finance IBB.BA
2025-12-12,IBB,9465.00,ARS,Yahoo Finance IBB.BA
2025-12-15,IBB,9600.00,ARS,Yahoo Finance IBB.BA
2025-12-16,IBB,9640.00,ARS,Yahoo Finance IBB.BA
2025-12-17,IBB,9680.00,ARS,Yahoo Finance IBB.BA
2025-12-19,IBB,9785.00,ARS,Yahoo Finance IBB.BA
2025-12-22,IBB,9850.00,ARS,Yahoo Finance IBB.BA
2025-12-23,IBB,9710.00,ARS,Yahoo Finance IBB.BA
2025-12-24,IBB,9755.00,ARS,Yahoo Finance IBB.BA
